id,name,new
1181,수제비,
1197,파기름,
1202,죠리퐁,
1208,멸치볶음,
1211,다이제,
1218,새우튀김,
1219,무화과잼,
1220,삭힌고추,
1222,레몬식초,
1237,자일리톨,
1239,새우머리,새우
1248,동치미,
1251,족발,
1252,냉면사리,냉면
1254,버터크림,
1262,갈릭솔트,소금
1265,배음료,배즙
1268,자색고구마가루,고구마가루
1273,떡볶이,
1281,엑스트라버진올리브오일,올리브유
1282,짜파게티,짜장라면
1292,신라면,라면
1296,짜장라면,
1298,진라면,라면
1301,라면스프,라면
1303,라면사리,라면
1305,쫄면라면,쫄면
1310,펜네,
1345,단호박가루,
1366,삶은고구마,고구마
1387,가쓰오부시육수,
1395,멸치젓,
1398,슈레드치즈,치즈
1407,삶은달걀,달걀
1411,비타민채소,채소
1420,송이버섯,
1422,백만송이버섯,만가닥버섯
1432,백앙금,
1439,귀리가루,
1441,콩,
1454,메주가루,
1457,돼지갈비양념,
1458,소불고기양념,
1461,건두부,
1465,안달루시아산올리브유,올리브유
1470,계란,달걀
1472,삶은계란,달걀
1477,팬케익믹스,
1478,고기만두,만두
1479,김치만두,만두
1481,물만두,만두
1491,스테이크시즈닝,
1520,아기간장,간장
1530,깍두기김치,깍두기
1531,후라이드치킨,치킨
1538,초코볼,
1545,치킨튀김가루,
1547,양념치킨소스,
1555,볶음김치,
1583,훈제닭가슴살,닭가슴살
1597,감자칩,
1600,헛개나무,
1602,유부초밥,
1606,시즈닝,삭제
1615,중국당면,
1621,깐메추리알,메추리알
1636,가시오가피,
1638,LA갈비,
1646,마쉬멜로우,
1652,나물,
1680,해초,
1696,크림스프,
1704,크래미,게맛살
1725,원두커피믹스,커피
1740,타피오카,
1741,치즈떡,
1743,귤칩,
1759,해물다시팩,멸치육수
1769,버섯파우더,버섯가루
1770,햄버거번,햄버거빵
1779,핫초코가루,
1780,만능양념,삭제
1788,멸치다시팩,멸치육수
1827,쌀국수,
1841,면,
1842,소스,삭제
1843,생선,
1844,생박,박
1845,삼계탕재료,삭제
1859,초코파이,
1860,초코시럽,
1867,잡뼈,
1870,양념,삭제
1884,스팸햄,햄
1895,무짠지,
1898,소불고기,소고기
1900,만능비빔장,
1911,유부초밥세트,삭제
1928,카라멜시럽,
1947,3분카레,카레
1951,로제소스,
1953,토마토파스타소스,토마토소스
1955,크림파스타소스,크림소스
1961,토마토스파게티소스,토마토소스
1963,가래떡,
1967,파스타,파스타면
1968,파스타소스,
1974,볶음면,
1987,막대과자,
2005,허브가루,허브
2016,김말이,
2017,건목이버섯,
2032,데미글라스소스,
2053,삼각김밥김,김
2088,바질가루,
2106,떡볶이소스,
2110,생칼국수,칼국수면
2122,핫도그,
2166,수육,
2172,2배식초,식초
2208,분말카레,카레
2238,김밥재료,삭제
2240,현미밥,밥
2328,발효종,이스트
2400,설렁탕,
2410,마라샹궈소스,
2496,화자오,
2512,전란,달걀
2532,불맛향미유,화유
2546,돼지막창,
2576,양파기름,
2596,사양꿀,꿀
2636,아라비아따소스,
2662,교자만두,만두
2666,홍초,
2723,납작당면,
2745,계란흰자,달걀
2752,요리당,올리고당
2757,오징어실채,오징어채
2782,생새우,새우
2817,바나나우유,
2836,다시마가루,
2850,야채피클,피클
2859,허브류,허브
2867,된장찌개양념,된장
2868,까르보불닭,삭제
2899,깐밤,밤
2907,단감,감
2927,군고구마,고구마
2934,홍고추,고추
2935,땡초,청양고추
2938,군만두,만두
2941,청고추,고추
2950,갑오징어,오징어
2959,오징어몸통,오징어
2960,오징어다리,오징어
2968,크레미,게맛살
2984,돈까스용고기,돼지고기
2989,모듬어묵,어묵
2990,사각어묵,어묵
2998,김밥햄,햄
2999,다오네만능간장,간장
3025,표고버섯가루,표고버섯
3033,육우,소고기
3048,닭볶음탕용,닭고기
3055,양파껍질,
3057,염장미역,미역
3060,냉동딸기,딸기
3068,찰밀가루,
3092,고형카레,카레
3177,다진양파,양파
3186,자숙새우,새우
3189,손질새우,새우
3194,왕새우,새우
3217,통삼겹,삼겹살
3218,백김치,
3237,흰다리새우,새우
